Wal-Mart Stores;www.corporate.walmart.com
Exxon Mobil;www.exxonmobil.com
Chevron;www.chevron.com
Berkshire Hathaway;www.berkshirehathaway.com
Apple;www.apple.com
Phillips 66;www.phillips66.com
General Motors;www.gm.com
Ford Motor;www.ford.com
General Electric;www.ge.com
Valero Energy;www.valero.com
AT&T;www.att.com
CVS Caremark;info.cvscaremark.com
Fannie Mae;www.fanniemae.com
UnitedHealth Group;www.unitedhealthgroup.com
McKesson;www.mckesson.com
Verizon Communications;www.verizon.com
Hewlett-Packard;www.hp.com
J.P. Morgan Chase & Co.;www.jpmorganchase.com
Costco Wholesale;www.costco.com
Express Scripts Holding;www.express-scripts.com
Bank of America;www.bankofamerica.com
Cardinal Health;www.cardinal.com
International Business Machines;www.ibm.com
Kroger;www.thekrogerco.com
Marathon Petroleum;www.marathonpetroleum.com
Citigroup;www.citigroup.com
Archer Daniels Midland;www.adm.com
AmerisourceBergen;www.amerisourcebergen.com
Wells Fargo;www.wellsfargo.com
Boeing;www.boeing.com
Procter & Gamble;www.pg.com
Freddie Mac;www.freddiemac.com
Home Depot;www.homedepot.com
Microsoft;www.microsoft.com
Amazon.com;www.amazon.com
Target;www.target.com
Walgreen Co.;www.walgreens.com
WellPoint;www.wellpoint.com
Johnson & Johnson;www.jnj.com
American International Group;www.aig.com
State Farm Insurance Cos.;www.statefarm.com
MetLife;www.metlife.com
PepsiCo;www.pepsico.com
Comcast;www.comcastcorporation.com
United Technologies;www.utc.com
Google;www.google.com
ConocoPhillips;www.conocophillips.com
Dow Chemical;www.dow.com
Caterpillar;www.caterpillar.com
United Parcel Service;www.ups.com
Pfizer;www.pfizer.com
Lowe's Companies;www.lowes.com
Intel Corporation;www.intel.com
Energy Transfer Equity, L.P.;www.energytransfer.com
Cisco Systems, Inc.;www.cisco.com
Enterprise Products Partners L.P.;www.enterpriseproducts.com
Aetna Inc.;www.aetna.com
The Coca-Cola Company;www.coca-colacompany.com
Lockheed Martin Corporation;www.lockheedmartin.com
Best Buy Co., Inc.;www.bestbuy.com
The Walt Disney Company;www.disney.com
CHS Inc.;www.chsinc.com
Sysco Corporation;www.sysco.com
FedEx Corporation;www.fedex.com
Merck & Co., Inc.;www.merck.com
INTL FCStone Inc.;www.intlfcstone.com
Safeway Inc.;www.safeway.com
Johnson Controls, Inc.;www.johnsoncontrols.com
Ingram Micro Inc.;www.ingrammicro.com
Plains GP Holdings, L.P.;www.plainsallamerican.com
World Fuel Services Corporation;www.wfscorp.com
Prudential Financial, Inc.;www.prudential.com
Humana Inc.;www.humana.com
The Goldman Sachs Group, Inc.;www.gs.com
Tesoro Corporation;www.tsocorp.com
Liberty Mutual Holding Company Inc.;www.libertymutual.com
Honeywell International Inc.;www.honeywell.com
United Continental Holdings, Inc.;www.unitedcontinentalholdings.com
HCA Holdings, Inc.;www.hcahealthcare.com
Deere & Company;www.deere.com
Delta Air Lines, Inc.;www.delta.com
Oracle Corporation;www.oracle.com
Morgan Stanley;www.morganstanley.com
Hess Corporation;www.hess.com
Twenty-First Century Fox, Inc.;www.21cf.com
E.I. du Pont de Nemours and Company;www.dupont.com
Sears Holdings Corporation;www.searsholdings.com
New York Life Insurance Company;www.newyorklife.com
Mondelez International, Inc.;www.mondelezinternational.com
American Express Company;www.americanexpress.com
Nationwide Mutual Insurance Co.;www.nationwide.com
The Allstate Corporation;www.allstate.com
Tyson Foods, Inc.;www.tysonfoods.com
Supervalu Inc.;www.supervalu.com
TIAA-CREF;www.tiaa-cref.org
Massachusetts Mutual Life Insurance Company;www.massmutual.com
CIGNA Corporation;www.cigna.com
DIRECTV;www.directv.com
General Dynamics Corporation;www.generaldynamics.com
Philip Morris International Inc.;www.pmi.com
3M Company;www.3m.com
Time Warner Inc.;www.timewarner.com
Halliburton Company;www.halliburton.com
Publix Super Markets, Inc.;www.publix.com
International Paper Company;www.internationalpaper.com
McDonald's Corporation;www.mcdonalds.com
Macy's, Inc.;www.macysinc.com
The TJX Companies, Inc.;www.tjx.com
Fluor Corporation;www.fluor.com
Northwestern Mutual Life Insurance Company,Inc.;www.northwesternmutual.com
Tech Data Corporation;www.techdata.com
American Airlines Group Inc.;www.aa.com
The Hartford Financial Services Group, Inc.;www.thehartford.com
The Travelers Companies, Inc.;www.travelers.com
Nike, Inc.;www.nikeinc.com
Occidental Petroleum Corporation;www.oxy.com
Avnet, Inc.;www.avnet.com
Rite Aid Corporation;www.riteaid.com
Exelon Corporation;www.exeloncorp.com
Qualcomm Incorporated;www.qualcomm.com
Emerson Electric Co.;www.emerson.com
Northrop Grumman Corporation;www.northropgrumman.com
Duke Energy Corporation;www.duke-energy.com
Capital One Financial Corporation;www.capitalone.com
Aflac Incorporated;www.aflac.com
Raytheon Company;www.raytheon.com
Staples, Inc.;www.staples.com
EMC Corporation;www.emc.com
Eli Lilly and Company;www.lilly.com
Alcoa Inc.;www.alcoa.com
National Oilwell Varco, Inc.;www.nov.com
Baker Hughes Incorporated;www.bakerhughes.com
US Foods, Inc.;www.usfoods.com
Time Warner Cable Inc.;www.twc.com
Union Pacific Corporation;www.up.com
Abbott Laboratories;www.abbott.com
Xerox Corporation;www.xerox.com
Arrow Electronics, Inc;www.arrow.com
Kimberly-Clark Corporation;www.kimberly-clark.com
U.S. Bancorp;www.usbank.com
United Services Automobile Association;www.usaa.com
Freeport-McMoRan Copper & Gold Inc.;www.fcx.com
